Day_GC,O2_mmol_hr,CH4_mmol_hr,Day_OD,CDW_g,Formate_umolar
0.69,0.013007106,0.43522377,0,0.00322,
0.70,0.028760045,0.441757613,0.727083333,0.0299,
0.71,0.050842899,0.443602393,1.003472222,0.09384,
0.72,0.074303818,0.454293019,1.738888889,0.2185,
0.74,0.095991972,0.45937951,1.994444444,0.207,50
0.75,0.121299456,0.470735278,2.875694444,0.3036,
0.76,0.146457743,0.481369111,4.004166667,0.3151,
0.77,0.173517877,0.490873746,4.736111111,0.345,70
0.78,0.198030681,0.502052516,4.845138889,0.3404,
0.79,0.225732206,0.515292598,5.698611111,0.3864,45
0.80,0.261003052,0.531493474,6.049305556,0.36915,
0.82,0.280251776,0.544362151,6.679166667,0.491625,
0.83,0.306095419,0.55528765,6.93125,0.321425,110
0.84,0.332922106,0.567819623,7.766666667,0.33235,
0.85,0.359737904,0.587983689,8.1875,0.31855,
0.86,0.386080235,0.598794754,8.772916667,0.322,
0.87,0.411405608,0.612700443,9.061805556,0.3151,40
0.88,0.436559021,0.62602018,9.793055556,0.3266,
0.89,0.463114231,0.634606273,10.78263889,0.3174,54
0.91,0.484274088,0.649435811,10.8875,0.3473,
0.92,0.505296464,0.66375114,12.16666667,0.3542,
0.93,0.526035338,0.674912018,,,
0.94,0.546535311,0.685148173,,,
0.95,0.56562662,0.697063749,,,
0.96,0.582016395,0.706292593,,,
0.97,0.642056367,0.719837515,,,
0.98,0.61409931,0.72869068,,,
1.00,0.626428387,0.74050365,,,
1.01,0.642498403,0.750899737,,,
1.02,0.697019353,0.765391621,,,
1.03,0.663792671,0.772242893,,,
1.04,0.679053814,0.783906122,,,
1.05,0.690066298,0.793378636,,,
1.06,0.698799349,0.798443769,,,
1.08,0.709657163,0.809758731,,,
1.09,0.767810185,0.819671092,,,
1.10,0.73301172,0.822587727,,,
1.11,0.782620231,0.829473238,,,
1.12,0.794680188,0.837665967,,,
1.13,0.760904539,0.840479534,,,
1.14,0.765461201,0.845864469,,,
1.15,0.779216528,0.851903346,,,
1.17,0.782338839,0.857320315,,,
1.18,0.837344825,0.86051021,,,
1.19,0.839818739,0.865530487,,,
1.20,0.79767039,0.868313017,,,
