locus_tag,product,5GB1_vial_wLa_TR3,5GB1_vial_woLa_TR2
MBURv2_10001,protein of unknown function,0,0
MBURv2_10002,KfrB,0,0
MBURv2_10003,Protein traN,0,0
MBURv2_10004,Protein TraM,0,0
MBURv2_10005,Protein TraL,0,0
MBURv2_10006,Protein TraK,0,0
MBURv2_10007,Protein TraJ,0,0
MBURv2_10008,Protein TraI,0,0
MBURv2_10009,Conjugal transfer protein TraG,0,0
MBURv2_10010,Plasmid transfer protein TraF,0,0
MBURv2_10011,DNA topoisomerase 3,0,0
MBURv2_10012,TraD protein,0,0
MBURv2_10013,DNA primase traC (Modular protein),0,0
MBURv2_10014,conserved protein of unknown function,0,0
MBURv2_10015,"Glutathione-dependent formaldehyde-activating, GFA",0,0
MBURv2_10016,putative antioxidant peroxiredoxin-related protein,0,0
MBURv2_10017,conserved protein of unknown function,0,0
MBURv2_10018,Pyridoxamine 5'-phosphate oxidase-related FMN-binding protein,0,0
MBURv2_10019,protein of unknown function,0,0
MBURv2_10020,Methyltransferase type 11,0,0
MBURv2_10021,conserved membrane protein of unknown function,0,0
MBURv2_10022,Methyltransferase domain family,0,0
MBURv2_10023,Plasmid stabilization system,0,0
MBURv2_10024,conserved protein of unknown function,0,0
MBURv2_10025,Phage integrase,0,0
MBURv2_10026,protein of unknown function,0,0
MBURv2_10027,O-methyltransferase family 2,0,0
MBURv2_10028,Regulatory protein TetR,0,0
MBURv2_10029,"Helix-turn-helix, AraC domain protein",0,0
MBURv2_10030,conserved membrane protein of unknown function,0,0
MBURv2_10031,DNA-invertase,0,0
MBURv2_10032,protein of unknown function,0,0
MBURv2_10033,putative membrane protein,0,0
MBURv2_10034,"Haloacid dehalogenase superfamily protein, subfamily IA, variant 3 with third motif having DD or ED",0,0
MBURv2_10035,Mercuric resistance operon regulatory protein,0,0
MBURv2_10036,Mercuric transport protein,0,0
MBURv2_10037,exported protein of unknown function,0,0
MBURv2_10038,conserved protein of unknown function,0,0
MBURv2_10039,protein of unknown function,0,0
MBURv2_10040,UBA/ThiF-type NAD/FAD binding protein,0,0
MBURv2_10041,protein of unknown function,0,0
MBURv2_10042,transposase,0,0
MBURv2_10043,Protein UmuD (modular protein),0,0
MBURv2_10044,Cytosine-specific methyltransferase,0,0
MBURv2_10045,conserved protein of unknown function,0,0
MBURv2_10046,XorII very short patch repair endonuclease,0,0
MBURv2_10047,Integrase family protein (fragment),0,0
MBURv2_10048,Tyrosine recombinase XerC (fragment),0,0
MBURv2_10049,protein of unknown function,0,0
MBURv2_10050,Integrase family protein (fragment),0,0
MBURv2_10051,conserved protein of unknown function,0,0
MBURv2_10052,protein of unknown function,0,0
MBURv2_10053,conserved exported protein of unknown function,0,0
MBURv2_10054,NERD domain protein,0,0
MBURv2_10055,conserved protein of unknown function,0,0
