,locus_tag,product,5GB1_vial_wLa_TR3,5GB1_vial_woLa_TR2
0,MBURv2_10001,protein of unknown function,0.0,0.0
1,MBURv2_10002,KfrB,0.0,0.0
2,MBURv2_10003,Protein traN,0.0,0.0
3,MBURv2_10004,Protein TraM,0.0,0.0
4,MBURv2_10005,Protein TraL,0.0,0.0
5,MBURv2_10006,Protein TraK,0.0,0.0
6,MBURv2_10007,Protein TraJ,0.0,0.0
7,MBURv2_10008,Protein TraI,0.0,0.0
8,MBURv2_10009,Conjugal transfer protein TraG,0.0,0.0
9,MBURv2_10010,Plasmid transfer protein TraF,0.0,0.0
10,MBURv2_10011,DNA topoisomerase 3,0.0,0.0
11,MBURv2_10012,TraD protein,0.0,0.0
12,MBURv2_10013,DNA primase traC (Modular protein),0.0,0.0
13,MBURv2_10014,conserved protein of unknown function,0.0,0.0
14,MBURv2_10015,"Glutathione-dependent formaldehyde-activating, GFA",0.0,0.0
15,MBURv2_10016,putative antioxidant peroxiredoxin-related protein,0.0,0.0
16,MBURv2_10017,conserved protein of unknown function,0.0,0.0
17,MBURv2_10018,Pyridoxamine 5'-phosphate oxidase-related FMN-binding protein,0.0,0.0
18,MBURv2_10019,protein of unknown function,0.0,0.0
19,MBURv2_10020,Methyltransferase type 11,0.0,0.0
20,MBURv2_10021,conserved membrane protein of unknown function,0.0,0.0
21,MBURv2_10022,Methyltransferase domain family,0.0,0.0
22,MBURv2_10023,Plasmid stabilization system,0.0,0.0
23,MBURv2_10024,conserved protein of unknown function,0.0,0.0
24,MBURv2_10025,Phage integrase,0.0,0.0
25,MBURv2_10026,protein of unknown function,0.0,0.0
26,MBURv2_10027,O-methyltransferase family 2,0.0,0.0
27,MBURv2_10028,Regulatory protein TetR,0.0,0.0
28,MBURv2_10029,"Helix-turn-helix, AraC domain protein",0.0,0.0
29,MBURv2_10030,conserved membrane protein of unknown function,0.0,0.0
30,MBURv2_10031,DNA-invertase,0.0,0.0
31,MBURv2_10032,protein of unknown function,0.0,0.0
